class_name,feature,n_samples,spearman_conflict_vs_shap_range,spearman_conflict_vs_shap_variance,spearman_conflict_vs_sign_instability,mean_shap_range,mean_shap_variance,mean_sign_instability
normal,cat__service_urp_i,256,-0.2068233441296885,-0.244908231561166,,0.01976878070225041,3.149394085152492e-05,0.0
normal,cat__service_uucp,256,-0.0670094478785377,-0.0670094478785377,,0.003291378903668374,0.00019644823820572722,0.0
normal,cat__service_uucp_path,256,0.10029909107507018,0.1937583733512653,0.07490208969124432,0.0061535850137487535,2.967471155540491e-06,0.3744791666666667
normal,cat__service_vmnet,256,,,,0.0,0.0,0.0
normal,cat__service_whois,256,,,,0.0,0.0,0.0
normal,num__count,256,0.032413432674104875,-0.03150282582710792,-0.0928438852494384,0.9438735679153751,0.2004848547954094,0.11432291666666666
normal,num__diff_srv_rate,256,-0.07690289953193018,-0.09321168569262138,0.10066228221557123,0.706911272225625,0.08605772552321267,0.2716145833333333
normal,num__dst_bytes,256,0.13416665682700107,0.15205539235426874,-0.11533382153860083,0.000858226011206652,2.1997382127904495e-06,0.005208333333333332
normal,num__dst_host_count,256,-0.012415039585427992,0.014544145456885049,0.1253562774916602,0.7944786880470929,0.05995512448574605,0.11588541666666667
normal,num__dst_host_diff_srv_rate,256,0.2291647257807847,0.22027293336377196,-0.26784753470041434,0.848672531803004,0.22520161711446338,0.15833333333333335
normal,num__dst_host_rerror_rate,256,0.11016999148404916,0.11915164183341533,-0.09138924638035939,0.6888033771290338,0.06503985122415432,0.0578125
normal,num__dst_host_same_src_port_rate,256,0.1257786898766627,0.13492590405347155,-0.08219581978291284,0.7170673799914766,0.08403342383751096,0.023697916666666662
normal,num__dst_host_same_srv_rate,256,-0.01425946557259452,0.00925771492136896,-0.08404484558679709,0.7932333019116413,0.05592689501730216,0.06770833333333334
normal,num__dst_host_serror_rate,256,0.06659487757732206,0.04110365492480599,-0.021387739925882603,0.8028726892043778,0.05272056994482576,0.18020833333333333
normal,num__dst_host_srv_count,256,0.09160436808276526,0.09122042481776817,-0.08218270051789958,0.7839888941959998,0.05580057597143959,0.13359375
normal,num__dst_host_srv_diff_host_rate,256,-0.08291339087841151,-0.06725936845158853,-0.15669034766289322,0.3114586371866608,0.017836729343902458,0.13255208333333332
normal,num__dst_host_srv_rerror_rate,256,-0.020968550121499507,-0.08925276240700744,-0.22950434060254982,0.5265503865404071,0.04452798489005226,0.25312500000000004
normal,num__dst_host_srv_serror_rate,256,-0.03549096625874116,0.00651504898350679,0.006261242115920877,0.5533758324705786,0.02603489452265339,0.14661458333333333
normal,num__duration,256,-0.10489069670184634,-0.10147751596451493,-0.13230003020420486,0.08874680552696637,0.003912233312610276,0.21302083333333335
normal,num__hot,256,-0.03733689056108816,-0.08255903933822885,0.37246864532989854,0.2340763663187317,0.009932852492342428,0.3325520833333333
normal,num__is_guest_login,256,-0.06722791585427118,-0.08838823454787252,0.0785503192887845,0.46620713991808316,0.1534724799578184,0.3140625
normal,num__is_host_login,256,,,,0.0,0.0,0.0
normal,num__land,256,0.06732904010748068,0.03479275138463912,0.6374275614176238,0.08617482103363719,0.0004488319421581618,0.3244791666666667
normal,num__logged_in,256,-0.21457558989001022,-0.20172154395670264,0.3441365535572298,0.7249000361061917,0.04441874408977588,0.15286458333333336
normal,num__num_access_files,256,-0.0670094478785377,-0.0670094478785377,-0.0670094478785377,0.012111041462048888,0.002122473740813463,0.00026041666666666666
normal,num__num_compromised,256,-0.06310022063837697,-0.06310022063837697,-0.0161119258483569,0.007836812643290614,0.00024083407302904152,0.0015625
normal,num__num_failed_logins,256,-0.1793911352670467,-0.1793911352670467,-0.17939676260632897,0.20216965954750776,0.10153247426733819,0.011197916666666667
normal,num__num_file_creations,256,-0.07522676601419911,-0.07569407799073717,-0.047585110554766746,0.022851759604236577,0.0024189745329163868,0.00234375
normal,num__num_outbound_cmds,256,,,,0.0,0.0,0.0
normal,num__num_root,256,0.03401602699642025,0.03401602699642025,,0.0039933816569828195,7.298491319376886e-05,0.0
normal,num__num_shells,256,-0.047046562850853006,-0.047046562850853006,-0.047585110554766746,0.12838616769295186,0.11630792594714207,0.0028645833333333336
normal,num__rerror_rate,256,-0.23217596525320716,-0.24044549979611687,-0.2613558256470815,0.6725819068797136,0.08090005660713137,0.10598958333333333
normal,num__root_shell,256,0.032629572127982,0.03253237735369973,0.03490882843556005,0.1496727056801319,0.07887315115677154,0.00703125
normal,num__same_srv_rate,256,0.10453147557309238,0.09478491663212169,-0.03248677841841103,0.6532370374825405,0.0365153533429785,0.09427083333333333
normal,num__serror_rate,256,0.24269526343756326,0.20917978234631932,0.15313481720148397,0.5011955081135966,0.02046612039422441,0.25885416666666666
normal,num__src_bytes,256,-0.05986743050870789,-0.035601092424506174,-0.03902701704049573,0.00816163467699922,4.194840427200778e-05,0.07942708333333331
normal,num__srv_count,256,0.07108231963457423,0.11980640556728353,-0.16533943837774215,0.9533473847051255,0.3353271814916786,0.1609375
normal,num__srv_diff_host_rate,256,-0.10007002779450151,-0.09602739449553178,0.13405870312388515,0.6445414369300124,0.06354493089233652,0.28776041666666674
normal,num__srv_rerror_rate,256,-0.1610284561859209,-0.14101093658018157,0.12373770068702808,0.5492688504027683,0.05186410116948426,0.19296875
normal,num__srv_serror_rate,256,0.1924319898377485,0.13945680915923236,-0.09794386585503513,0.5683202621172541,0.027700645468774522,0.1171875
